SpEv,site,rep,distance,station,transect,dist_stat,plant_no,pot_no,counts_p1,counts_p2,counts_p3,counts_p4,counts_p5,degrees,mean_pot_count
Horsham Irrg 1,pbc,1,0,3,7,0m_3,5,6,0,3,2,3,2,105,2
Horsham Irrg 1,pbc,1,0,4,10,0m_4,5,8,0,3,5,4,2,135,2.8
Horsham Irrg 1,pbc,1,25,3,3,25m_3,5,21,0,0,0,0,0,65,0
Horsham Irrg 1,pbc,1,25,3,3,25m_3,5,22,0,0,0,1,2,65,0.6
Horsham Irrg 1,pbc,1,50,6,6,50m_6,3,42,0,1,1,NA,NA,95,0.6666666666666666
Horsham Irrg 1,pbc,1,50,10,10,50m_10,3,46,0,2,0,NA,NA,135,0.6666666666666666
Horsham Irrg 1,pbc,1,75,7,7,75m_7,3,53,0,1,3,NA,NA,105,1.3333333333333333
Horsham Irrg 1,pbc,1,75,9,9,75m_9,3,55,0,0,0,NA,NA,125,0
Horsham Irrg 1,pbc,1,75,10,10,75m_10,3,56,0,0,0,NA,NA,135,0
Horsham Irrg 2,pbc,2,10,1,1,10m_1,5,10,0,2,2,1,1,45,1.2
Horsham Irrg 2,pbc,2,50,4,4,50m_4,3,40,0,0,0,NA,NA,75,0
Horsham Irrg 2,pbc,2,50,5,5,50m_5,3,41,0,0,0,NA,NA,85,0
Horsham Irrg 2,pbc,2,75,4,4,75m_4,3,50,0,0,0,NA,NA,75,0
Horsham Irrg 2,pbc,2,75,5,5,75m_5,3,51,0,0,0,NA,NA,85,0
Horsham Mixd 1,pbc,3,25,5,5,25m_5,5,25,0,4,0,0,0,85,0.8
Horsham Mixd 1,pbc,3,25,6,6,25m_6,5,27,0,1,3,2,0,95,1.2
Horsham Mixd 1,pbc,3,25,8,8,25m_8,5,31,0,3,0,2,0,115,1
Horsham Mixd 1,pbc,3,25,8,8,25m_8,5,32,0,0,0,0,2,115,0.4
Horsham Mixd 1,pbc,3,25,9,9,25m_9,5,33,0,1,0,0,0,125,0.2
Horsham Mixd 1,pbc,3,25,9,9,25m_9,5,34,0,0,2,0,0,125,0.4
Horsham Mixd 1,pbc,3,25,10,10,25m_10,5,35,0,0,0,0,0,135,0
Horsham Mixd 1,pbc,3,25,10,10,25m_10,5,36,0,1,1,0,0,135,0.4
Horsham Mixd 1,pbc,3,50,1,1,50m_1,3,37,0,3,1,NA,NA,45,1.3333333333333333
Horsham Mixd 1,pbc,3,50,3,3,50m_3,3,39,0,0,0,NA,NA,65,0
Horsham Mixd 1,pbc,3,50,4,4,50m_4,3,40,0,2,1,NA,NA,75,1
Horsham Mixd 1,pbc,3,50,5,5,50m_5,3,41,0,2,2,NA,NA,85,1.3333333333333333
Horsham Mixd 1,pbc,3,75,1,1,75m_1,3,47,0,0,0,NA,NA,45,0
Horsham Mixd 1,pbc,3,75,2,2,75m_2,3,48,0,1,0,NA,NA,55,0.3333333333333333
Horsham Mixd 1,pbc,3,75,3,3,75m_3,3,49,0,0,0,NA,NA,65,0
Horsham Mixd 1,pbc,3,75,5,5,75m_5,3,51,0,0,2,NA,NA,85,0.6666666666666666
Horsham Mixd 1,pbc,3,75,7,7,75m_7,3,53,0,0,0,NA,NA,105,0
Horsham Mixd 1,pbc,3,75,8,8,75m_8,3,54,0,0,1,NA,NA,115,0.3333333333333333
Horsham Mixd 1,pbc,3,75,9,9,75m_9,3,55,0,0,0,NA,NA,125,0
Horsham Mixd 1,pbc,3,75,10,10,75m_10,3,56,0,0,0,NA,NA,135,0
Horsham Rain 1,Horsham,1,0,1,1,0m_1,5,2,0,3,1,2,0,45,1.2
Horsham Rain 1,Horsham,1,0,2,4,0m_2,5,4,0,0,4,4,3,75,2.2
Horsham Rain 1,Horsham,1,0,3,7,0m_3,5,5,0,1,1,1,1,105,0.8
Horsham Rain 1,Horsham,1,0,3,7,0m_3,5,6,0,2,3,1,NA,105,1.5
Horsham Rain 1,Horsham,1,0,4,10,0m_4,5,7,0,3,0,0,2,135,1
Horsham Rain 1,Horsham,1,10,1,1,10m_1,5,9,0,1,4,1,1,45,1.4
Horsham Rain 1,Horsham,1,10,2,4,10m_2,5,12,0,2,0,2,0,75,0.8
Horsham Rain 1,Horsham,1,10,3,7,10m_3,5,13,0,1,0,0,0,105,0.2
Horsham Rain 1,Horsham,1,25,1,1,25m_1,5,17,0,0,2,0,0,45,0.4
Horsham Rain 1,Horsham,1,25,1,1,25m_1,5,18,0,1,2,0,1,45,0.8
Horsham Rain 1,Horsham,1,25,3,3,25m_3,5,21,0,1,0,1,0,65,0.4
Horsham Rain 1,Horsham,1,25,4,4,25m_4,5,24,0,1,0,1,1,75,0.6
Horsham Rain 1,Horsham,1,25,7,7,25m_7,5,29,0,4,0,1,0,105,1
Horsham Rain 1,Horsham,1,25,7,7,25m_7,5,30,0,0,2,1,0,105,0.6
Horsham Rain 1,Horsham,1,25,8,8,25m_8,5,32,0,1,0,0,0,115,0.2
Horsham Rain 1,Horsham,1,25,9,9,25m_9,5,34,0,2,1,1,2,125,1.2
Horsham Rain 1,Horsham,1,25,10,10,25m_10,5,35,0,0,0,0,4,135,0.8
Horsham Rain 1,Horsham,1,25,10,10,25m_10,5,36,0,0,0,2,0,135,0.4
Horsham Rain 1,Horsham,1,50,1,1,50m_1,3,37,0,0,0,NA,NA,45,0
Horsham Rain 1,Horsham,1,50,3,3,50m_3,3,39,0,1,0,NA,NA,65,0.3333333333333333
Horsham Rain 1,Horsham,1,50,4,4,50m_4,3,40,0,0,0,NA,NA,75,0
Horsham Rain 1,Horsham,1,50,5,5,50m_5,3,41,0,0,0,NA,NA,85,0
Horsham Rain 1,Horsham,1,50,6,6,50m_6,3,42,0,1,0,NA,NA,95,0.3333333333333333
Horsham Rain 1,Horsham,1,50,7,7,50m_7,3,43,0,0,0,NA,NA,105,0
Horsham Rain 1,Horsham,1,75,4,4,75m_4,3,50,0,0,0,NA,NA,75,0
Horsham Rain 1,Horsham,1,75,5,5,75m_5,3,51,0,0,0,NA,NA,85,0
Horsham Rain 2,Horsham,2,0,2,4,0m_2,5,3,0,3,5,6,1,75,3
Horsham Rain 2,Horsham,2,10,3,7,10m_3,5,14,0,1,0,1,0,105,0.4
Horsham Rain 2,Horsham,2,25,3,3,25m_3,5,22,0,0,2,1,0,65,0.6
Horsham Rain 2,Horsham,2,25,4,4,25m_4,5,23,0,0,0,1,0,75,0.2
Horsham Rain 2,Horsham,2,25,5,5,25m_5,5,25,0,0,2,1,1,85,0.8
Horsham Rain 2,Horsham,2,25,5,5,25m_5,5,26,0,2,0,0,0,85,0.4
Horsham Rain 2,Horsham,2,50,2,2,50m_2,3,38,0,1,0,NA,NA,55,0.3333333333333333
Horsham Rain 2,Horsham,2,50,4,4,50m_4,3,40,0,1,0,NA,NA,75,0.3333333333333333
Horsham Rain 2,Horsham,2,75,3,3,75m_3,3,49,0,0,1,NA,NA,65,0.3333333333333333
Horsham Rain 2,Horsham,2,75,4,4,75m_4,3,50,0,0,1,NA,NA,75,0.3333333333333333
Horsham Rain 2,Horsham,2,75,10,10,75m_10,3,56,0,1,0,NA,NA,135,0.3333333333333333
Curyo Rain 1,Curyo,1,0,2,4,0m_2,5,3,0,2,3,1,2,320,1.6
Curyo Rain 1,Curyo,1,0,3,7,0m_3,5,5,0,0,4,1,1,350,1.2
Curyo Rain 1,Curyo,1,10,1,1,10m_1,5,9,0,3,0,1,1,290,1
Curyo Rain 1,Curyo,1,10,2,4,10m_2,5,11,0,0,0,0,0,320,0
Curyo Rain 1,Curyo,1,10,2,4,10m_2,5,12,0,0,0,2,NA,320,0.5
Curyo Rain 1,Curyo,1,10,4,10,10m_4,5,16,0,0,2,0,1,20,0.6
Curyo Rain 1,Curyo,1,25,3,3,25m_3,5,22,0,1,1,0,NA,310,0.5
Curyo Rain 1,Curyo,1,25,5,5,25m_5,5,25,0,1,0,0,0,330,0.2
Curyo Rain 1,Curyo,1,25,5,5,25m_5,5,26,0,0,0,1,2,330,0.6
Curyo Rain 1,Curyo,1,25,6,6,25m_6,5,27,0,2,0,0,2,340,0.8
Curyo Rain 1,Curyo,1,25,6,6,25m_6,5,28,0,0,0,1,0,340,0.2
Curyo Rain 1,Curyo,1,25,7,7,25m_7,5,30,0,0,0,0,0,350,0
Curyo Rain 1,Curyo,1,25,8,8,25m_8,5,31,0,2,2,0,1,360,1
Curyo Rain 1,Curyo,1,25,10,10,25m_10,5,35,0,0,2,0,1,20,0.6
Curyo Rain 1,Curyo,1,25,10,10,25m_10,5,36,0,1,0,NA,NA,20,0.3333333333333333
Curyo Rain 1,Curyo,1,50,1,1,50m_1,3,37,0,4,1,NA,NA,290,1.6666666666666667
Curyo Rain 1,Curyo,1,50,2,2,50m_2,3,38,0,0,0,NA,NA,300,0
Curyo Rain 1,Curyo,1,50,6,6,50m_6,3,42,0,0,0,NA,NA,340,0
Curyo Rain 1,Curyo,1,50,7,7,50m_7,3,43,0,1,2,NA,NA,350,1
Curyo Rain 1,Curyo,1,50,8,8,50m_8,3,44,0,0,1,NA,NA,360,0.3333333333333333
Curyo Rain 1,Curyo,1,50,9,9,50m_9,3,45,0,0,0,NA,NA,10,0
Curyo Rain 1,Curyo,1,50,10,10,50m_10,3,46,0,0,1,NA,NA,20,0.3333333333333333
Curyo Rain 1,Curyo,1,75,1,1,75m_1,3,47,0,1,1,NA,NA,290,0.6666666666666666
Curyo Rain 1,Curyo,1,75,3,3,75m_3,3,49,0,0,1,NA,NA,310,0.3333333333333333
Curyo Rain 1,Curyo,1,75,4,4,75m_4,3,50,0,0,0,NA,NA,320,0
Curyo Rain 1,Curyo,1,75,5,5,75m_5,3,51,0,0,0,NA,NA,330,0
Curyo Rain 1,Curyo,1,75,6,6,75m_6,3,52,0,1,1,NA,NA,340,0.6666666666666666
Curyo Rain 1,Curyo,1,75,7,7,75m_7,3,53,0,0,1,NA,NA,350,0.3333333333333333
Curyo Rain 1,Curyo,1,75,8,8,75m_8,3,54,0,0,1,NA,NA,360,0.3333333333333333
Curyo Rain 1,Curyo,1,75,9,9,75m_9,3,55,0,1,0,NA,NA,10,0.3333333333333333
Curyo Rain 1,Curyo,1,75,10,10,75m_10,3,56,0,1,0,NA,NA,20,0.3333333333333333
Horsham Irrg 1,pbc,1,0,1,1,0m_1,5,1,1,2,2,0,3,45,1.6
Horsham Irrg 1,pbc,1,10,1,1,10m_1,5,10,1,0,0,0,2,45,0.6
Horsham Irrg 1,pbc,1,10,4,10,10m_4,5,15,1,0,1,0,0,135,0.4
Horsham Irrg 1,pbc,1,25,1,1,25m_1,5,18,1,1,2,2,0,45,1.2
Horsham Irrg 1,pbc,1,25,6,6,25m_6,5,27,1,0,0,3,0,95,0.8
Horsham Irrg 1,pbc,1,25,7,7,25m_7,5,30,1,0,0,0,1,105,0.4
Horsham Irrg 1,pbc,1,25,8,8,25m_8,5,31,1,0,0,0,1,115,0.4
Horsham Irrg 1,pbc,1,25,8,8,25m_8,5,32,1,1,0,0,0,115,0.4
Horsham Irrg 1,pbc,1,25,10,10,25m_10,5,35,1,0,0,0,1,135,0.4
Horsham Irrg 1,pbc,1,50,4,4,50m_4,3,40,1,0,0,NA,NA,75,0.3333333333333333
Horsham Irrg 1,pbc,1,50,5,5,50m_5,3,41,1,0,0,NA,NA,85,0.3333333333333333
Horsham Irrg 1,pbc,1,50,7,7,50m_7,3,43,1,0,0,NA,NA,105,0.3333333333333333
Horsham Irrg 2,pbc,2,25,2,2,25m_2,5,20,1,0,1,1,NA,55,0.75
Horsham Irrg 2,pbc,2,25,3,3,25m_3,5,21,1,0,0,2,NA,65,0.75
Horsham Irrg 2,pbc,2,50,10,10,50m_10,3,46,1,1,1,NA,NA,135,1
Horsham Irrg 2,pbc,2,75,2,2,75m_2,3,48,1,0,0,NA,NA,55,0.3333333333333333
Horsham Mixd 1,pbc,3,25,5,5,25m_5,5,26,1,0,0,1,0,85,0.4
Horsham Mixd 1,pbc,3,50,6,6,50m_6,3,42,1,0,0,NA,NA,95,0.3333333333333333
Horsham Mixd 1,pbc,3,50,7,7,50m_7,3,43,1,2,0,NA,NA,105,1
Horsham Mixd 1,pbc,3,50,8,8,50m_8,3,44,1,0,1,NA,NA,115,0.6666666666666666
Horsham Rain 1,Horsham,1,0,1,1,0m_1,5,1,1,2,2,0,1,45,1.2
Horsham Rain 1,Horsham,1,0,2,4,0m_2,5,3,1,2,0,0,0,75,0.6
Horsham Rain 1,Horsham,1,10,4,10,10m_4,5,15,1,0,0,2,1,135,0.8
Horsham Rain 1,Horsham,1,10,4,10,10m_4,5,16,1,0,2,0,0,135,0.6
Horsham Rain 1,Horsham,1,25,5,5,25m_5,5,25,1,0,0,0,0,85,0.2
Horsham Rain 1,Horsham,1,25,6,6,25m_6,5,27,1,0,0,1,0,95,0.4
Horsham Rain 1,Horsham,1,25,8,8,25m_8,5,31,1,0,0,0,0,115,0.2
Horsham Rain 1,Horsham,1,25,9,9,25m_9,5,33,1,3,2,0,0,125,1.2
Horsham Rain 1,Horsham,1,50,2,2,50m_2,3,38,1,0,0,NA,NA,55,0.3333333333333333
Horsham Rain 1,Horsham,1,50,10,10,50m_10,3,46,1,0,0,NA,NA,135,0.3333333333333333
Horsham Rain 1,Horsham,1,75,1,1,75m_1,3,47,1,0,0,NA,NA,45,0.3333333333333333
Horsham Rain 1,Horsham,1,75,10,10,75m_10,3,56,1,0,0,NA,NA,135,0.3333333333333333
Horsham Rain 2,Horsham,2,0,1,1,0m_1,5,2,1,3,6,1,2,45,2.6
Horsham Rain 2,Horsham,2,10,1,1,10m_1,5,9,1,2,4,1,0,45,1.6
Horsham Rain 2,Horsham,2,10,1,1,10m_1,5,10,1,1,2,1,0,45,1
Horsham Rain 2,Horsham,2,25,6,6,25m_6,5,27,1,1,0,0,2,95,0.8
Horsham Rain 2,Horsham,2,25,7,7,25m_7,5,30,1,1,1,0,0,105,0.6
Horsham Rain 2,Horsham,2,25,8,8,25m_8,5,32,1,0,0,2,1,115,0.8
Horsham Rain 2,Horsham,2,25,9,9,25m_9,5,33,1,0,0,0,0,125,0.2
Horsham Rain 2,Horsham,2,25,10,10,25m_10,5,36,1,0,2,0,0,135,0.6
Horsham Rain 2,Horsham,2,50,3,3,50m_3,3,39,1,0,0,NA,NA,65,0.3333333333333333
Horsham Rain 2,Horsham,2,50,8,8,50m_8,3,44,1,0,0,NA,NA,115,0.3333333333333333
Horsham Rain 2,Horsham,2,50,9,9,50m_9,3,45,1,0,0,NA,NA,125,0.3333333333333333
Horsham Rain 2,Horsham,2,75,1,1,75m_1,3,47,1,0,1,NA,NA,45,0.6666666666666666
Horsham Rain 2,Horsham,2,75,6,6,75m_6,3,52,1,0,0,NA,NA,95,0.3333333333333333
Curyo Rain 1,Curyo,1,25,2,2,25m_2,5,19,1,2,1,2,2,300,1.6
Curyo Rain 1,Curyo,1,25,2,2,25m_2,5,20,1,0,0,0,1,300,0.4
Curyo Rain 1,Curyo,1,25,7,7,25m_7,5,29,1,1,1,2,2,350,1.4
Curyo Rain 1,Curyo,1,25,8,8,25m_8,5,32,1,2,0,0,0,360,0.6
Curyo Rain 1,Curyo,1,25,9,9,25m_9,5,33,1,1,0,0,2,10,0.8
Curyo Rain 1,Curyo,1,25,9,9,25m_9,5,34,1,0,0,0,0,10,0.2
Curyo Rain 1,Curyo,1,50,3,3,50m_3,3,39,1,0,0,NA,NA,310,0.3333333333333333
Curyo Rain 1,Curyo,1,50,4,4,50m_4,3,40,1,0,0,NA,NA,320,0.3333333333333333
Curyo Rain 1,Curyo,1,75,2,2,75m_2,3,48,1,0,0,NA,NA,300,0.3333333333333333
Horsham Irrg 1,pbc,1,0,1,1,0m_1,5,2,2,5,1,1,4,45,2.6
Horsham Irrg 1,pbc,1,0,4,10,0m_4,5,7,2,2,1,1,1,135,1.4
Horsham Irrg 1,pbc,1,10,3,7,10m_3,5,14,2,0,4,0,0,105,1.2
Horsham Irrg 1,pbc,1,25,4,4,25m_4,5,23,2,2,0,0,0,75,0.8
Horsham Irrg 1,pbc,1,25,5,5,25m_5,5,25,2,1,0,0,0,85,0.6
Horsham Irrg 1,pbc,1,25,5,5,25m_5,5,26,2,0,1,0,0,85,0.6
Horsham Irrg 1,pbc,1,25,7,7,25m_7,5,29,2,1,0,0,0,105,0.6
Horsham Irrg 1,pbc,1,25,10,10,25m_10,5,36,2,0,0,0,3,135,1
Horsham Irrg 1,pbc,1,50,3,3,50m_3,3,39,2,0,0,NA,NA,65,0.6666666666666666
Horsham Irrg 1,pbc,1,75,4,4,75m_4,3,50,2,1,0,NA,NA,75,1
Horsham Irrg 2,pbc,2,10,1,1,10m_1,5,9,2,1,2,2,1,45,1.6
Horsham Irrg 2,pbc,2,10,2,4,10m_2,5,11,2,0,4,2,2,75,2
Horsham Irrg 2,pbc,2,10,2,4,10m_2,5,12,2,2,2,1,2,75,1.8
Horsham Irrg 2,pbc,2,10,3,7,10m_3,5,13,2,1,0,0,5,105,1.6
Horsham Irrg 2,pbc,2,25,4,4,25m_4,5,23,2,2,1,2,1,75,1.6
Horsham Irrg 2,pbc,2,25,5,5,25m_5,5,25,2,0,2,1,5,85,2
Horsham Mixd 1,pbc,3,10,4,10,10m_4,5,15,2,1,1,1,0,135,1
Horsham Mixd 1,pbc,3,25,2,2,25m_2,5,19,2,4,1,0,2,55,1.8
Horsham Rain 1,Horsham,1,25,5,5,25m_5,5,26,2,1,1,0,0,85,0.8
Horsham Rain 1,Horsham,1,25,6,6,25m_6,5,28,2,0,1,2,0,95,1
Horsham Rain 2,Horsham,2,10,3,7,10m_3,5,13,2,2,4,2,0,105,2
Horsham Rain 2,Horsham,2,25,1,1,25m_1,5,18,2,1,1,0,1,45,1
Horsham Rain 2,Horsham,2,50,6,6,50m_6,3,42,2,1,0,NA,NA,95,1
Curyo Rain 1,Curyo,1,0,1,1,0m_1,5,1,2,0,4,2,2,290,2
Curyo Rain 1,Curyo,1,25,1,1,25m_1,5,17,2,0,1,0,0,290,0.6
Curyo Rain 1,Curyo,1,25,1,1,25m_1,5,18,2,1,0,2,0,290,1
Horsham Irrg 1,pbc,1,10,2,4,10m_2,5,11,3,0,0,1,1,75,1
Horsham Irrg 1,pbc,1,25,1,1,25m_1,5,17,3,0,1,0,0,45,0.8
Horsham Irrg 1,pbc,1,25,9,9,25m_9,5,33,3,1,2,0,1,125,1.4
Horsham Irrg 1,pbc,1,50,2,2,50m_2,3,38,3,0,0,NA,NA,55,1
Horsham Irrg 1,pbc,1,75,8,8,75m_8,3,54,3,0,0,NA,NA,115,1
Horsham Irrg 2,pbc,2,0,1,1,0m_1,5,2,3,3,4,9,8,45,5.4
Horsham Irrg 2,pbc,2,0,2,4,0m_2,5,4,3,1,3,5,3,75,3
Horsham Irrg 2,pbc,2,0,4,10,0m_4,5,7,3,2,3,2,3,135,2.6
Horsham Irrg 2,pbc,2,25,2,2,25m_2,5,19,3,2,2,1,0,55,1.6
Horsham Irrg 2,pbc,2,25,4,4,25m_4,5,24,3,3,1,1,4,75,2.4
Horsham Irrg 2,pbc,2,25,10,10,25m_10,5,35,3,0,3,0,0,135,1.2
Horsham Mixd 1,pbc,3,0,3,7,0m_3,5,6,3,4,7,5,7,105,5.2
Horsham Mixd 1,pbc,3,10,1,1,10m_1,5,10,3,2,3,3,0,45,2.2
Horsham Mixd 1,pbc,3,10,2,4,10m_2,5,12,3,1,1,2,0,75,1.4
Horsham Mixd 1,pbc,3,10,4,10,10m_4,5,16,3,0,1,4,6,135,2.8
Horsham Mixd 1,pbc,3,25,2,2,25m_2,5,20,3,0,0,1,0,55,0.8
Horsham Mixd 1,pbc,3,25,6,6,25m_6,5,28,3,1,3,2,3,95,2.4
Horsham Rain 2,Horsham,2,0,2,4,0m_2,5,4,3,2,3,5,2,75,3
Horsham Rain 2,Horsham,2,0,3,7,0m_3,5,6,3,4,2,2,0,105,2.2
Horsham Rain 2,Horsham,2,0,4,10,0m_4,5,7,3,0,1,4,4,135,2.4
Horsham Rain 2,Horsham,2,10,2,4,10m_2,5,11,3,2,2,3,2,75,2.4
Horsham Rain 2,Horsham,2,10,2,4,10m_2,5,12,3,2,2,1,0,75,1.6
Horsham Rain 2,Horsham,2,25,2,2,25m_2,5,20,3,2,2,3,1,55,2.2
Curyo Rain 1,Curyo,1,0,1,1,0m_1,5,2,3,0,0,2,3,290,1.6
Curyo Rain 1,Curyo,1,0,2,4,0m_2,5,4,3,3,0,5,9,320,4
Curyo Rain 1,Curyo,1,0,3,7,0m_3,5,6,3,2,0,1,2,350,1.6
Curyo Rain 1,Curyo,1,0,4,10,0m_4,5,8,3,2,0,3,NA,20,2
Curyo Rain 1,Curyo,1,10,3,7,10m_3,5,13,3,1,3,0,0,350,1.4
Horsham Irrg 2,pbc,2,0,3,7,0m_3,5,6,4,3,4,1,5,105,3.4
Horsham Irrg 2,pbc,2,0,4,10,0m_4,5,8,4,2,5,1,0,135,2.4
Horsham Irrg 2,pbc,2,25,5,5,25m_5,5,26,4,3,1,NA,NA,85,2.6666666666666665
Horsham Irrg 2,pbc,2,25,6,6,25m_6,5,28,4,5,1,3,2,95,3
Horsham Irrg 2,pbc,2,25,7,7,25m_7,5,29,4,0,0,2,0,105,1.2
Horsham Irrg 2,pbc,2,25,9,9,25m_9,5,33,4,3,0,1,2,125,2
Horsham Irrg 2,pbc,2,50,3,3,50m_3,3,39,4,0,1,NA,NA,65,1.6666666666666667
Horsham Mixd 1,pbc,3,0,2,4,0m_2,5,3,4,1,8,7,3,75,4.6
Horsham Mixd 1,pbc,3,0,2,4,0m_2,5,4,4,3,11,9,5,75,6.4
Horsham Mixd 1,pbc,3,0,4,10,0m_4,5,8,4,5,1,1,0,135,2.2
Horsham Mixd 1,pbc,3,10,3,7,10m_3,5,13,4,3,3,4,1,105,3
Horsham Mixd 1,pbc,3,25,1,1,25m_1,5,17,4,3,0,1,2,45,2
Horsham Mixd 1,pbc,3,25,7,7,25m_7,5,30,4,2,0,4,0,105,2
Horsham Irrg 1,pbc,1,0,2,4,0m_2,5,4,5,3,1,3,2,75,2.8
Horsham Irrg 1,pbc,1,25,2,2,25m_2,5,20,5,0,0,0,1,55,1.2
Horsham Irrg 2,pbc,2,0,2,4,0m_2,5,3,5,2,4,2,2,75,3
Horsham Irrg 1,pbc,1,10,4,10,10m_4,5,16,6,3,2,3,2,135,3.2
Horsham Irrg 2,pbc,2,25,1,1,25m_1,5,18,6,1,2,3,1,45,2.6
Horsham Mixd 1,pbc,3,0,3,7,0m_3,5,5,11,4,9,4,14,105,8.4
Horsham Mixd 1,pbc,3,0,4,10,0m_4,5,7,12,4,3,11,5,135,7
Curyo Rain 1,Curyo,1,25,4,4,25m_4,5,23,NA,NA,NA,NA,NA,320,NaN
Curyo Rain 1,Curyo,1,25,4,4,25m_4,5,24,NA,NA,NA,NA,NA,320,NaN
